"k","Z","varZ","epsilon","U:0","U:1","U:2","Points:0","Points:1","Points:2"
5.2383,0.99885,0.00053256,71.731,10.277,-1.3075e-18,1.5867e-18,0.00082314,0,0
5.0507,0.99979,9.713e-05,53.964,10.047,-1.2782e-18,1.5511e-18,0,0,0
5.2391,0.99884,0.00053441,71.845,10.279,-0.01205,0,0.00082314,0.00025,0
5.0234,0.9999,4.4664e-05,51.827,10.022,-0.0024272,0,0,0.00025,0
5.4336,0.99728,0.0012617,99.721,10.62,-1.351e-18,1.6396e-18,0.0016555,0,0
5.4347,0.99727,0.0012664,99.986,10.623,-0.0068203,0,0.0016555,0.00025,0
5.5303,0.99532,0.0021886,131.57,10.954,-1.3935e-18,1.6912e-18,0.0024971,0,0
5.5314,0.9953,0.002197,132.02,10.957,0.0054802,0,0.0024971,0.00025,0
5.5507,0.99303,0.0032751,165.46,11.239,-1.4297e-18,1.7351e-18,0.0033481,0,0
5.552,0.993,0.0032873,166.1,11.241,0.019277,0,0.0033481,0.00025,0
5.5343,0.99049,0.0044719,200.72,11.455,-1.4572e-18,1.7685e-18,0.0042086,0,0
5.5356,0.99046,0.0044877,201.56,11.456,0.030939,0,0.0042086,0.00025,0
5.5052,0.98778,0.0057292,237.02,11.613,-1.4774e-18,1.7929e-18,0.0050787,0,0
5.5067,0.98774,0.0057482,238.03,11.614,0.039595,0,0.0050787,0.00025,0
5.4729,0.98495,0.0070051,273.85,11.721,-1.4911e-18,1.8095e-18,0.0059585,0,0
5.4746,0.9849,0.0070268,275.03,11.722,0.045604,0,0.0059585,0.00025,0
5.4423,0.98204,0.0082679,310.65,11.79,-1.4999e-18,1.8202e-18,0.0068481,0,0
5.4442,0.98199,0.0082918,311.99,11.791,0.049554,0,0.0068481,0.00025,0
5.4124,0.97907,0.0094943,346.77,11.829,-1.5048e-18,1.8262e-18,0.0077477,0,0
5.4145,0.97901,0.0095197,348.25,11.829,0.049905,0,0.0077477,0.00025,0
5.3811,0.97607,0.010668,381.59,11.849,-1.5074e-18,1.8293e-18,0.0086573,0,0
5.3832,0.97601,0.010694,383.17,11.849,0.050434,0,0.0086573,0.00025,0
5.3464,0.97304,0.011777,414.47,11.856,-1.5083e-18,1.8304e-18,0.009577,0,0
5.3487,0.97297,0.011804,416.14,11.856,0.050589,0,0.009577,0.00025,0
5.3104,0.96998,0.012816,445.37,11.851,-1.5076e-18,1.8296e-18,0.010507,0,0
5.3128,0.96991,0.012844,447.1,11.85,0.049575,0,0.010507,0.00025,0
5.2743,0.9669,0.013782,474.34,11.834,-1.5055e-18,1.827e-18,0.011447,0,0
5.2768,0.96683,0.013811,476.12,11.833,0.047299,0,0.011447,0.00025,0
5.2352,0.9638,0.014673,500.95,11.807,-1.5021e-18,1.8229e-18,0.012398,0,0
5.2377,0.96372,0.014701,502.75,11.806,0.045731,0,0.012398,0.00025,0
5.19,0.96069,0.015486,524.67,11.778,-1.4983e-18,1.8183e-18,0.01336,0,0
5.1924,0.96061,0.015514,526.47,11.776,0.044712,0,0.01336,0.00025,0
5.1392,0.95757,0.016221,545.44,11.749,-1.4947e-18,1.8139e-18,0.014332,0,0
5.1415,0.95748,0.016249,547.22,11.748,0.043316,0,0.014332,0.00025,0
5.0842,0.95444,0.016879,563.45,11.719,-1.4908e-18,1.8092e-18,0.015315,0,0
5.0864,0.95435,0.016907,565.17,11.717,0.043608,0,0.015315,0.00025,0
5.0236,0.9513,0.017463,578.37,11.688,-1.4869e-18,1.8044e-18,0.016309,0,0
5.0257,0.95121,0.01749,580.07,11.686,0.04039,0,0.016309,0.00025,0
4.958,0.94817,0.017975,590.4,11.659,-1.4832e-18,1.8e-18,0.017314,0,0
4.9601,0.94808,0.018001,592.04,11.658,0.039074,0,0.017314,0.00025,0
4.8882,0.94505,0.018418,599.63,11.631,-1.4796e-18,1.7956e-18,0.018331,0,0
4.8902,0.94495,0.018443,601.2,11.629,0.037957,0,0.018331,0.00025,0
4.8148,0.94193,0.018796,606.23,11.603,-1.4761e-18,1.7914e-18,0.019358,0,0
4.8167,0.94183,0.018821,607.74,11.602,0.036892,0,0.019358,0.00025,0
4.7385,0.93882,0.019113,610.38,11.576,-1.4727e-18,1.7872e-18,0.020397,0,0
4.7403,0.93871,0.019137,611.81,11.575,0.036023,0,0.020397,0.00025,0
4.6594,0.93571,0.019374,611.99,11.549,-1.4692e-18,1.783e-18,0.021448,0,0
4.6611,0.93561,0.019398,613.35,11.548,0.035123,0,0.021448,0.00025,0
4.5785,0.93262,0.019583,611.81,11.522,-1.4658e-18,1.7788e-18,0.022511,0,0
4.5801,0.93252,0.019606,613.11,11.521,0.034094,0,0.022511,0.00025,0
4.4978,0.92953,0.019745,610.38,11.494,-1.4622e-18,1.7744e-18,0.023585,0,0
4.4993,0.92942,0.019768,611.61,11.492,0.033015,0,0.023585,0.00025,0
4.4178,0.92644,0.019866,607.35,11.461,-1.458e-18,1.7694e-18,0.024671,0,0
4.4192,0.92633,0.019888,608.48,11.459,0.033974,0,0.024671,0.00025,0
4.3365,0.92335,0.01995,602.53,11.428,-1.4538e-18,1.7643e-18,0.02577,0,0
4.3379,0.92324,0.019971,603.6,11.427,0.031919,0,0.02577,0.00025,0
4.2546,0.92026,0.019999,596.37,11.398,-1.45e-18,1.7597e-18,0.02688,0,0
4.2559,0.92014,0.02002,597.39,11.396,0.031066,0,0.02688,0.00025,0
4.1723,0.91716,0.020015,589.04,11.369,-1.4463e-18,1.7551e-18,0.028004,0,0
4.1736,0.91705,0.020036,590,11.367,0.030234,0,0.028004,0.00025,0
4.09,0.91406,0.020008,580.7,11.34,-1.4426e-18,1.7507e-18,0.029139,0,0
4.0912,0.91395,0.020029,581.6,11.339,0.029403,0,0.029139,0.00025,0
