Temp,rho,U,H,S,cv,cp,usound
270, 0.045164, 5578.9, 7822.4, 195.78, 20.76, 29.13, 329.6
280, 0.043546, 5786.8, 8113.7, 196.84, 20.77, 29.13, 335.6
290, 0.042040, 5994.8, 8405.1, 197.86, 20.78, 29.14, 341.5
300, 0.040634, 6203.0, 8696.5, 198.85, 20.80, 29.15, 347.4
310, 0.039320, 6411.2, 8988.1, 199.80, 20.81, 29.16, 353.1
320, 0.038089, 6619.5, 9279.8, 200.73, 20.83, 29.18, 358.7
330, 0.036932, 6828.1, 9571.6, 201.63, 20.85, 29.19, 364.2
340, 0.035844, 7036.8, 9863.6, 202.50, 20.87, 29.21, 369.7
350, 0.034818, 7245.7, 10156.0, 203.34, 20.89, 29.23, 375.0
360, 0.033850, 7454.9, 10448.0, 204.17, 20.92, 29.26, 380.3
370, 0.032933, 7664.3, 10741.0, 204.97, 20.94, 29.28, 385.4
380, 0.032066, 7874.0, 11034.0, 205.75, 20.97, 29.31, 390.5
390, 0.031243, 8084.0, 11327.0, 206.51, 21.01, 29.34, 395.5
400, 0.030461, 8294.3, 11621.0, 207.26, 21.04, 29.38, 400.5
450, 0.027074, 9351.8, 13094.0, 210.73, 21.25, 29.58, 424.2
500, 0.024365, 10421.0, 14579.0, 213.86, 21.50, 29.83, 446.4
550, 0.022149, 11503.0, 16078.0, 216.71, 21.80, 30.13, 467.3
600, 0.020303, 12602.0, 17592.0, 219.35, 22.13, 30.45, 487.1
650, 0.018742, 13717.0, 19123.0, 221.80, 22.47, 30.79, 505.9
700, 0.017403, 14849.0, 20671.0, 224.09, 22.82, 31.14, 523.9
750, 0.016243, 15999.0, 22237.0, 226.25, 23.17, 31.48, 541.2
800, 0.015228, 17166.0, 23820.0, 228.30, 23.51, 31.82, 557.8
900, 0.013536, 19549.0, 27035.0, 232.08, 24.15, 32.47, 589.6
1000, 0.012183, 21994.0, 30311.0, 235.53, 24.73, 33.05, 619.6
1100, 0.011075, 24494.0, 33642.0, 238.71, 25.25, 33.57, 648.1
1200, 0.010153, 27042.0, 37022.0, 241.65, 25.70, 34.02, 675.5
1300, 0.009372, 29633.0, 40444.0, 244.39, 26.10, 34.42, 701.7
1400, 0.008703, 32261.0, 43904.0, 246.95, 26.45, 34.77, 727.0
1500, 0.008122, 34922.0, 47397.0, 249.36, 26.76, 35.08, 751.5
1600, 0.007615, 37612.0, 50919.0, 251.63, 27.04, 35.35, 775.2
1700, 0.007167, 40329.0, 54466.0, 253.79, 27.29, 35.60, 798.2
1800, 0.006769, 43069.0, 58038.0, 255.83, 27.51, 35.82, 820.5
1900, 0.006413, 45830.0, 61630.0, 257.77, 27.71, 36.03, 842.3
2000, 0.006092, 48610.0, 65242.0, 259.62, 27.90, 36.21, 863.5
