Row,Temp,rho,H,S,Cv,Cp,u,D,mu,tc
1,"273.16","999.84","0.10186","0.000007","4.2170","4.2194","1402.4","87.899","1791.1","555.67",
2,280,"999.91","28.894","0.10411","4.1998","4.2009","1434.3","85.192","1433.6","571.98",
3,300,"996.56","112.65","0.39306","4.1302","4.1806","1501.5","77.747","853.74","609.50",
4,320,"989.43","196.25","0.66281","4.0414","4.1805","1538.9","70.935","576.73","637.00",
5,340,"979.54","279.93","0.91646","3.9414","4.1883","1554.0","64.702","421.63","657.17",
6,360,"967.40","363.82","1.1562","3.8369","4.2023","1552.1","59.004","325.86","671.11",
7,"372.756","958.63","417.50","1.3028","3.7702","4.2152","1543.5","55.628","282.75","677.06",
8,"372.756","0.59034","2674.9","7.3588","1.5548","2.0784","471.99","1.0058","12.218","24.532",
9,380,"0.57824","2689.9","7.3986","1.5356","2.0507","477.08","1.0056","12.498","25.134",
10,400,"0.54761","2730.4","7.5025","1.5082","2.0078","490.31","1.0051","13.278","26.825",
11,450,"0.48458","2829.7","7.7365","1.4943","1.9752","520.60","1.0040","15.267","31.269",
12,500,"0.43514","2928.6","7.9447","1.5082","1.9813","548.31","1.0033","17.299","36.032",
13,550,"0.39507","3028.1","8.1344","1.5319","2.0010","574.19","1.0027","19.356","41.093",
14,600,"0.36185","3128.8","8.3096","1.5600","2.0268","598.61","1.0023","21.425","46.424",
15,650,"0.33384","3230.8","8.4730","1.5903","2.0557","621.79","1.0020","23.496","51.996",
16,700,"0.30988","3334.4","8.6264","1.6222","2.0867","643.92","1.0017","25.562","57.782",
17,750,"0.28915","3439.5","8.7715","1.6553","2.1191","665.11","1.0015","27.617","63.759",
18,800,"0.27102","3546.3","8.9093","1.6892","2.1525","685.47","1.0013","29.657","69.908",
19,900,"0.24085","3765.0","9.1668","1.7589","2.2216","724.03","1.0011","33.680","82.647",
20,1000,"0.21673","3990.7","9.4045","1.8297","2.2921","760.17","1.00088","37.615","95.877",
21,1100,"0.19701","4223.4","9.6263","1.9000","2.3621","794.33","1.00074","41.453","109.50",
22,1200,"0.18058","4463.0","9.8348","1.9682","2.4302","826.85","1.00063","45.192","123.44",
